iter	Passed	Remaining
0	113	113392
1	116	57918
2	118	39228
3	119	29817
4	121	24212
5	123	20487
6	125	17790
7	127	15806
8	129	14254
9	131	13025
10	133	11980
11	134	11107
12	136	10385
13	138	9779
14	141	9261
15	142	8781
16	144	8370
17	147	8021
18	148	7682
19	150	7371
20	152	7105
21	154	6878
22	156	6657
23	158	6447
24	160	6254
25	162	6073
26	164	5926
27	166	5771
28	168	5625
29	170	5497
30	171	5370
31	173	5251
32	175	5146
33	177	5048
34	179	4956
35	181	4870
36	184	4790
37	186	4711
38	188	4635
39	190	4560
40	191	4489
41	193	4421
42	195	4358
43	197	4299
44	200	4246
45	202	4192
46	204	4139
47	206	4088
48	207	4036
49	209	3983
50	211	3941
51	213	3900
52	216	3860
53	218	3819
54	219	3778
55	221	3737
56	223	3699
57	225	3660
58	227	3627
59	229	3593
60	231	3561
61	233	3529
62	235	3499
63	237	3466
64	239	3438
65	240	3407
66	243	3387
67	245	3362
68	247	3336
69	249	3309
70	251	3286
71	253	3262
72	255	3239
73	256	3213
74	258	3189
75	260	3169
76	262	3148
77	264	3126
78	266	3110
79	269	3096
80	271	3078
81	273	3062
82	274	3034
83	276	3014
84	278	2995
85	279	2975
86	281	2958
87	283	2939
88	285	2923
89	287	2909
90	289	2894
91	291	2878
92	293	2861
93	295	2848
94	297	2834
95	299	2819
96	301	2806
97	303	2792
98	305	2778
99	307	2767
100	309	2753
101	311	2740
102	313	2726
103	314	2712
104	316	2701
105	318	2690
106	321	2680
107	323	2668
108	324	2654
109	326	2644
110	329	2636
111	331	2626
112	333	2617
113	335	2608
114	337	2596
115	339	2586
116	340	2572
117	342	2561
118	344	2552
119	346	2542
120	348	2533
121	350	2522
122	352	2512
123	354	2503
124	356	2494
125	358	2484
126	359	2471
127	361	2462
128	363	2455
129	365	2446
130	367	2437
131	369	2430
132	371	2422
133	373	2413
134	375	2405
135	377	2398
136	379	2389
137	381	2385
138	384	2378
139	386	2371
140	387	2363
141	389	2351
142	391	2344
143	393	2337
144	395	2331
145	397	2323
146	399	2316
147	400	2308
148	402	2300
149	404	2293
150	406	2287
151	408	2280
152	410	2274
153	412	2268
154	414	2260
155	416	2253
156	418	2246
157	420	2238
158	421	2230
159	423	2223
160	425	2214
161	427	2209
162	428	2202
163	430	2196
164	432	2189
165	434	2183
166	436	2177
167	438	2170
168	440	2164
169	442	2158
170	444	2152
171	446	2147
172	448	2141
173	449	2136
174	451	2129
175	453	2124
176	455	2118
177	457	2112
178	459	2106
179	461	2101
180	463	2096
181	465	2090
182	467	2085
183	469	2080
184	470	2074
185	472	2068
186	474	2063
187	476	2057
188	478	2052
189	480	2047
190	482	2042
191	483	2036
192	485	2031
193	487	2027
194	489	2022
195	491	2017
196	493	2012
197	495	2007
198	497	2002
199	499	1997
200	501	1994
201	504	1991
202	506	1987
203	508	1983
204	510	1978
205	512	1974
206	513	1968
207	516	1968
208	518	1964
209	521	1960
210	523	1956
211	525	1952
212	527	1948
213	529	1943
214	531	1939
215	533	1935
216	535	1930
217	536	1925
218	538	1921
219	540	1917
220	542	1913
221	544	1908
222	546	1905
223	548	1901
